"time","reference","prediction"
0.806,-1.5881456733212131,-1.6100039588833934
0.808,-1.5941938985162154,-1.6147643621253618
0.81,-1.6004039292334202,-1.6196720306426742
0.812,-1.6067707648125866,-1.6247246882200286
0.814,-1.6132892707765325,-1.6299199453395037
0.816,-1.6199541822499464,-1.6352552963034213
0.818,-1.6267601074660194,-1.6407281163878706
0.82,-1.6337015313586645,-1.6463356590394786
0.822,-1.6407728192380178,-1.6520750531283692
0.824,-1.647968220546872,-1.6579433002705652
0.826,-1.655281872695638,-1.6639372722333885
0.828,-1.6627078049733823,-1.6700537084376692
0.83,-1.6702399425324332,-1.6762892135707808
0.832,-1.6778721104440095,-1.6826402553246962
0.834,-1.6855980378222717,-1.6891031622733732
0.836,-1.6934113620141598,-1.6956741219038496
0.838,-1.7013056328523293,-1.7023491788154366
0.84,-1.7092743169684708,-1.7091242331013583
0.842,-1.717310802164239,-1.7159950389270526
0.844,-1.7254084018370053,-1.722957203319194
0.846,-1.7335603594575881,-1.7300061851792328
0.848,-1.7417598530970984,-1.7371372945349361
0.85,-1.75,-1.7443456920430096
0.852,-1.75827386120045,-1.751626388755413
0.854,-1.7665744461789692,-1.75897424616146
0.856,-1.7748947175564473,-1.7663839765171154
0.858,-1.783227595822484,-1.7738501434722722
0.86,-1.7915659640950319,-1.7813671630059584
0.862,-1.7999026729082819,-1.7889293046786063
0.864,-1.8082305450257325,-1.7965306932095948
0.866,-1.81654238027535,-1.8041653103872668
0.868,-1.8248309604037154,-1.8118269973175987
0.87,-1.8330890539460492,-1.8195094570165606
0.872,-1.8413094211089862,-1.8272062573500474
0.874,-1.8494848186629664,-1.8349108343240466
0.876,-1.8576080048411006,-1.84261649572644
0.878,-1.8656717442413693,-1.8503164251205497
0.88,-1.8736688127290009,-1.8580036861892069
0.882,-1.8815920023358839,-1.8656712274267941
0.884,-1.8894341261538665,-1.8733118871753547
0.886,-1.8971880232187972,-1.8809183989995124
0.888,-1.904846563382164,-1.8884833973936122
0.89,-1.9124026521672073,-1.8959994238131674
0.892,-1.9198492356063777,-1.9034589330214131
0.894,-1.9271793050570292,-1.9108542997405151
0.896,-1.934385901992251,-1.9181778255957824
0.898,-1.9414621227637474,-1.9254217463401013
0.9,-1.9484011233337102,-1.9325782393447226
0.902,-1.9551961239726272,-1.9396394313415621
0.904,-1.9618404139200036,-1.9465974064012466
0.906,-1.9683273560049945,-1.9534442141303514
0.908,-1.9746503912239661,-1.9601718780705362
0.91,-1.9808030432720347,-1.9667724042817039
0.912,-1.986778923025664,-1.9732377900908045
0.914,-1.9925717329734194,-1.9795600329875187
0.916,-1.9981752715920262,-1.9857311396478163
0.918,-2.003583437664899,-1.9917431350662085
0.92,-2.008790234540356,-1.997588071777515
0.922,-2.0137897743267605,-2.0032580391490478
0.924,-2.0185762820218778,-2.0087451727243026
0.926,-2.0231440995737757,-2.0140416635995937
0.928,-2.0274876898706338,-2.019139767815446
0.93,-2.0316016406568815,-2.024031815745112
0.932,-2.03548066837312,-2.028710221463153
0.934,-2.0391196219173437,-2.033167492077733
0.936,-2.0425134863250034,-2.0373962370110092
0.938,-2.045657386365543,-2.0413891772128383
0.94,-2.0485465900530446,-2.04513915429386
0.942,-2.051176512068716,-2.0486391395649406
0.944,-2.053542717092982,-2.051882242970863
0.946,-2.055640923045005,-2.0548617219070944
0.948,-2.0574670042275223,-2.057570989909395
0.95,-2.0590169943749475,-2.0600036252069343
0.952,-2.060287089602731,-2.062153379130484
0.954,-2.0612736512560588,-2.0640141843680886
0.956,-2.0619732086560085,-2.0655801630614183
0.958,-2.062382461741366,-2.066845634736728
0.96,-2.0624982836043593,-2.067805124065009
0.962,-2.0623177229186345,-2.0684533684464856
0.964,-2.0618380062578763,-2.068785325415088
0.966,-2.0610565403035253,-2.068796179858908
0.968,-2.0599709139401385,-2.0684813510529416
0.97,-2.058578900236988,-2.067836499500547
0.972,-2.056878458314575,-2.0668575335801473
0.974,-2.054867735094814,-2.065540615993621
0.976,-2.0525450669337,-2.0638821700126733
0.978,-2.049908981135362,-2.061878885519186
0.98,-2.0469581973464677,-2.0595277248351898
0.982,-2.0436916288300293,-2.0568259283375934
0.984,-2.040108383617731,-2.0537710198522556
0.986,-2.036207765539974,-2.0503608118213146
0.988,-2.0319892751329234,-2.046593410236974
0.99,-2.0274526104218955,-2.0424672193341458
0.992,-2.022597667580535,-2.0379809460335148
0.994,-2.0174245414652745,-2.033133604125726
0.996,-2.0119335260246776,-2.0279245181864916
0.998,-2.0061251145833263,-2.022353327211526
1,-2,-2.016419987959337
1,-2,-2.016419987959337
